Recency,Frequency,MonetaryValue,Cluster,Segment
162,2,1608.3200000000002,3,At Risk/Lost
77,1,777.2,0,Potential Loyalists
194,1,582.73,3,At Risk/Lost
21,3,765.32,0,Potential Loyalists
25,9,7956.46,2,Champions
8,4,3700.0,0,Potential Loyalists
42,1,256.4,0,Potential Loyalists
35,15,5259.61,2,Champions
42,4,4359.32,0,Potential Loyalists
0,7,12604.51,2,Champions
84,2,806.14,0,Potential Loyalists
79,2,7120.450000000001,0,Potential Loyalists
99,1,509.01,0,Potential Loyalists
1,18,4873.41,2,Champions
13,2,2906.85,0,Potential Loyalists
366,1,173.55,3,At Risk/Lost
2,1,172.06,0,Potential Loyalists
20,5,5005.46,0,Potential Loyalists
21,1,133.4,0,Potential Loyalists
57,1,1002.31,0,Potential Loyalists
242,1,476.49,3,At Risk/Lost
43,1,449.45,0,Potential Loyalists
21,4,4067.29,0,Potential Loyalists
155,2,197.88,3,At Risk/Lost
10,5,8933.52,2,Champions
16,2,430.57,0,Potential Loyalists
133,1,707.09,3,At Risk/Lost
55,1,2918.34,0,Potential Loyalists
72,6,2308.46,0,Potential Loyalists
43,3,3181.04,0,Potential Loyalists
65,7,2363.23,0,Potential Loyalists
70,2,947.4,0,Potential Loyalists
93,2,826.88,0,Potential Loyalists
18,2,1189.59,0,Potential Loyalists
52,4,1344.78,0,Potential Loyalists
9,8,1212.05,0,Potential Loyalists
16,2,742.1899999999999,0,Potential Loyalists
187,2,729.5400000000001,3,At Risk/Lost
1,30,19824.05,2,Champions
31,7,6572.11,2,Champions
28,5,3389.21,0,Potential Loyalists
16,18,7375.79,2,Champions
53,1,723.38,0,Potential Loyalists
15,11,6816.42,2,Champions
22,6,12829.74,2,Champions
3,1,680.99,0,Potential Loyalists
10,1,527.2,0,Potential Loyalists
27,4,2964.83,0,Potential Loyalists
22,10,5596.32,2,Champions
16,8,2484.98,0,Potential Loyalists
32,6,4541.72,0,Potential Loyalists
9,3,1298.66,0,Potential Loyalists
335,1,334.93,3,At Risk/Lost
4,10,5417.93,2,Champions
38,1,460.4,0,Potential Loyalists
62,2,263.21000000000004,0,Potential Loyalists
165,2,433.74,3,At Risk/Lost
15,7,1246.1,0,Potential Loyalists
81,1,780.6,0,Potential Loyalists
20,3,403.7000000000001,0,Potential Loyalists
22,11,2296.54,0,Potential Loyalists
336,1,2169.39,3,At Risk/Lost
95,5,3723.87,0,Potential Loyalists
17,2,482.05,0,Potential Loyalists
232,1,73.5,3,At Risk/Lost
133,3,686.4100000000001,0,Potential Loyalists
25,2,398.27,0,Potential Loyalists
283,1,176.5,3,At Risk/Lost
142,2,982.57,3,At Risk/Lost
65,2,138.03,0,Potential Loyalists
112,1,612.29,0,Potential Loyalists
266,1,1017.68,3,At Risk/Lost
352,1,383.7,3,At Risk/Lost
77,2,1208.38,0,Potential Loyalists
27,5,2502.84,0,Potential Loyalists
0,5,2056.89,0,Potential Loyalists
63,1,340.84,0,Potential Loyalists
78,5,2634.26,0,Potential Loyalists
142,1,599.68,3,At Risk/Lost
38,2,192.72,0,Potential Loyalists
18,11,1789.77,0,Potential Loyalists
8,8,4194.84,0,Potential Loyalists
0,3,1316.66,0,Potential Loyalists
81,3,348.71000000000004,0,Potential Loyalists
8,6,1933.48,0,Potential Loyalists
59,4,1662.28,0,Potential Loyalists
14,1,125.22,0,Potential Loyalists
29,1,349.83000000000004,0,Potential Loyalists
130,1,1089.18,3,At Risk/Lost
91,2,716.35,0,Potential Loyalists
58,1,4279.71,0,Potential Loyalists
28,1,363.95,0,Potential Loyalists
21,4,5568.35,0,Potential Loyalists
19,17,13400.24,2,Champions
29,3,981.18,0,Potential Loyalists
35,1,372.7,0,Potential Loyalists
74,2,1000.39,0,Potential Loyalists
46,2,1161.5,0,Potential Loyalists
197,2,207.8,3,At Risk/Lost
165,1,95.2,3,At Risk/Lost
78,1,964.83,0,Potential Loyalists
357,1,168.0,3,At Risk/Lost
38,2,437.82,0,Potential Loyalists
7,10,3692.28,0,Potential Loyalists
49,2,603.71,0,Potential Loyalists
15,4,2501.34,0,Potential Loyalists
7,1,269.96,0,Potential Loyalists
310,2,561.71,3,At Risk/Lost
4,3,2134.01,0,Potential Loyalists
302,1,238.85,3,At Risk/Lost
7,7,3781.74,0,Potential Loyalists
260,1,456.9,3,At Risk/Lost
288,1,145.92,3,At Risk/Lost
85,1,351.65,0,Potential Loyalists
22,10,9401.28,2,Champions
1,32,4124.69,2,Champions
39,2,519.61,0,Potential Loyalists
8,2,1020.42,0,Potential Loyalists
226,1,160.54000000000002,3,At Risk/Lost
315,1,218.45,3,At Risk/Lost
35,5,1315.83,0,Potential Loyalists
34,3,657.8,0,Potential Loyalists
20,2,2794.51,0,Potential Loyalists
77,1,440.42,0,Potential Loyalists
246,1,415.7,3,At Risk/Lost
39,1,197.71,0,Potential Loyalists
238,2,511.36,3,At Risk/Lost
2,15,6989.78,2,Champions
3,9,2338.15,0,Potential Loyalists
233,2,1901.86,3,At Risk/Lost
16,1,196.94000000000003,0,Potential Loyalists
7,1,144.0,0,Potential Loyalists
38,1,214.9,0,Potential Loyalists
28,2,646.68,0,Potential Loyalists
210,1,8951.26,0,Potential Loyalists
316,1,452.85,3,At Risk/Lost
91,2,437.6,0,Potential Loyalists
108,3,418.1,0,Potential Loyalists
37,10,3338.2200000000003,0,Potential Loyalists
50,2,618.27,0,Potential Loyalists
18,4,3811.22,0,Potential Loyalists
9,8,3023.08,0,Potential Loyalists
28,7,1032.58,0,Potential Loyalists
28,10,2599.04,0,Potential Loyalists
189,5,577.0600000000001,3,At Risk/Lost
58,1,153.12,0,Potential Loyalists
21,1,739.1999999999999,0,Potential Loyalists
78,2,254.18,0,Potential Loyalists
59,1,1579.51,0,Potential Loyalists
77,3,1126.85,0,Potential Loyalists
22,5,2099.54,0,Potential Loyalists
51,1,1049.32,0,Potential Loyalists
73,1,704.0400000000001,0,Potential Loyalists
56,5,3344.38,0,Potential Loyalists
277,1,315.6,3,At Risk/Lost
1,4,2291.19,0,Potential Loyalists
94,2,713.3,0,Potential Loyalists
28,1,355.53,0,Potential Loyalists
21,1,177.31,0,Potential Loyalists
15,9,2667.16,0,Potential Loyalists
14,3,1339.41,0,Potential Loyalists
1,20,12121.87,2,Champions
231,1,180.1,3,At Risk/Lost
275,1,305.1,3,At Risk/Lost
105,2,641.13,0,Potential Loyalists
211,2,2683.82,3,At Risk/Lost
22,9,6620.48,2,Champions
10,7,4470.53,0,Potential Loyalists
3,3,786.46,0,Potential Loyalists
9,2,1270.88,0,Potential Loyalists
56,1,640.5,0,Potential Loyalists
58,4,1951.98,0,Potential Loyalists
89,2,1689.18,0,Potential Loyalists
66,8,6021.9,0,Potential Loyalists
32,1,671.69,0,Potential Loyalists
238,1,486.1,3,At Risk/Lost
23,3,1174.58,0,Potential Loyalists
114,1,185.9,3,At Risk/Lost
24,3,1013.26,0,Potential Loyalists
127,6,1827.6,0,Potential Loyalists
129,1,477.91,3,At Risk/Lost
33,4,1775.18,0,Potential Loyalists
4,2,1346.97,0,Potential Loyalists
21,12,3722.82,0,Potential Loyalists
154,1,318.05,3,At Risk/Lost
106,3,614.87,0,Potential Loyalists
2,1,314.44,0,Potential Loyalists
334,1,114.0,3,At Risk/Lost
330,1,919.98,3,At Risk/Lost
148,2,2209.85,0,Potential Loyalists
10,5,601.98,0,Potential Loyalists
16,5,4051.17,0,Potential Loyalists
10,4,1433.18,0,Potential Loyalists
18,1,686.05,0,Potential Loyalists
29,1,91.68,0,Potential Loyalists
10,1,245.1,0,Potential Loyalists
0,11,3849.78,0,Potential Loyalists
7,9,4881.88,0,Potential Loyalists
324,1,63.0,3,At Risk/Lost
57,1,620.13,0,Potential Loyalists
11,4,3807.15,0,Potential Loyalists
150,2,1607.73,3,At Risk/Lost
9,5,2996.05,0,Potential Loyalists
329,1,225.9,3,At Risk/Lost
4,2,610.52,0,Potential Loyalists
38,4,1970.6,0,Potential Loyalists
24,6,1331.39,0,Potential Loyalists
41,12,12049.66,2,Champions
58,4,1113.02,0,Potential Loyalists
0,4,862.81,0,Potential Loyalists
14,22,13572.74,2,Champions
3,31,11686.78,2,Champions
3,15,8476.57,2,Champions
7,7,2161.59,0,Potential Loyalists
27,6,2863.08,0,Potential Loyalists
371,1,89.14,3,At Risk/Lost
113,1,4873.81,0,Potential Loyalists
25,2,1247.61,0,Potential Loyalists
205,1,389.01,3,At Risk/Lost
27,6,1035.8,0,Potential Loyalists
126,4,855.91,0,Potential Loyalists
69,2,869.67,0,Potential Loyalists
6,4,582.1,0,Potential Loyalists
28,3,957.59,0,Potential Loyalists
7,4,4939.99,0,Potential Loyalists
79,2,797.71,0,Potential Loyalists
19,1,219.0,0,Potential Loyalists
70,1,283.55,0,Potential Loyalists
6,8,2340.84,0,Potential Loyalists
14,9,6868.29,2,Champions
291,1,603.42,3,At Risk/Lost
29,10,2712.91,0,Potential Loyalists
14,15,9736.52,2,Champions
96,3,1149.02,0,Potential Loyalists
28,13,4396.13,2,Champions
0,1,848.55,0,Potential Loyalists
8,5,4708.86,0,Potential Loyalists
105,1,353.86,0,Potential Loyalists
3,2,1053.49,0,Potential Loyalists
150,2,1030.98,3,At Risk/Lost
70,1,238.25,0,Potential Loyalists
4,2,644.95,0,Potential Loyalists
2,25,5631.97,2,Champions
31,6,2656.13,0,Potential Loyalists
84,4,997.63,0,Potential Loyalists
3,5,725.07,0,Potential Loyalists
4,4,1031.41,0,Potential Loyalists
370,1,427.8,3,At Risk/Lost
27,7,2572.62,0,Potential Loyalists
10,7,3980.7,0,Potential Loyalists
70,4,836.33,0,Potential Loyalists
113,1,453.01,3,At Risk/Lost
23,12,16412.85,2,Champions
179,1,236.26,3,At Risk/Lost
233,1,383.95,3,At Risk/Lost
352,1,110.4,3,At Risk/Lost
314,2,779.5699999999999,3,At Risk/Lost
332,1,183.6,3,At Risk/Lost
371,1,155.35,3,At Risk/Lost
77,2,1013.04,0,Potential Loyalists
63,1,427.6,0,Potential Loyalists
133,2,546.43,3,At Risk/Lost
55,5,9363.89,2,Champions
1,11,4196.01,0,Potential Loyalists
0,208,30278.53,1,Champions
3,5,4090.88,0,Potential Loyalists
128,1,275.88,3,At Risk/Lost
80,1,4366.78,0,Potential Loyalists
22,6,19971.87,2,Champions
235,3,427.38,3,At Risk/Lost
280,1,17.549999999999997,3,At Risk/Lost
86,1,112.07999999999998,0,Potential Loyalists
15,9,4257.7,0,Potential Loyalists
116,2,2791.59,0,Potential Loyalists
51,3,1531.44,0,Potential Loyalists
7,2,1639.32,0,Potential Loyalists
137,2,494.08,3,At Risk/Lost
316,1,1693.88,3,At Risk/Lost
3,7,6989.63,2,Champions
238,1,1143.6,3,At Risk/Lost
210,1,1351.45,3,At Risk/Lost
59,1,892.47,0,Potential Loyalists
16,5,1386.04,0,Potential Loyalists
19,6,799.55,0,Potential Loyalists
37,8,3981.36,0,Potential Loyalists
63,2,826.74,0,Potential Loyalists
4,5,2330.92,0,Potential Loyalists
1,6,2225.91,0,Potential Loyalists
8,2,574.42,0,Potential Loyalists
363,1,311.95,3,At Risk/Lost
9,3,463.66,0,Potential Loyalists
64,1,91.85,0,Potential Loyalists
191,1,324.92,3,At Risk/Lost
373,1,192.6,3,At Risk/Lost
256,1,400.54,3,At Risk/Lost
334,2,545.48,3,At Risk/Lost
52,2,860.41,0,Potential Loyalists
18,1,430.48,0,Potential Loyalists
365,1,254.03,3,At Risk/Lost
170,1,69.12,3,At Risk/Lost
186,1,427.58,3,At Risk/Lost
36,3,483.65,0,Potential Loyalists
177,1,489.31,3,At Risk/Lost
260,3,514.85,3,At Risk/Lost
44,1,229.64,0,Potential Loyalists
101,1,125.92,0,Potential Loyalists
147,2,1063.46,3,At Risk/Lost
95,2,572.2,0,Potential Loyalists
280,1,166.04,3,At Risk/Lost
261,1,747.2,3,At Risk/Lost
2,4,942.34,0,Potential Loyalists
213,1,92.72,3,At Risk/Lost
70,2,948.88,0,Potential Loyalists
74,5,1759.5,0,Potential Loyalists
59,1,397.12,0,Potential Loyalists
2,7,1474.72,0,Potential Loyalists
5,3,430.15,0,Potential Loyalists
2,6,1018.71,0,Potential Loyalists
336,2,245.0,3,At Risk/Lost
90,4,1961.12,0,Potential Loyalists
261,1,215.05,3,At Risk/Lost
31,2,383.03,0,Potential Loyalists
144,1,417.38,3,At Risk/Lost
282,1,312.38,3,At Risk/Lost
58,4,2612.86,0,Potential Loyalists
172,1,134.1,3,At Risk/Lost
33,2,683.13,0,Potential Loyalists
2,14,5591.42,2,Champions
143,4,2726.77,0,Potential Loyalists
4,25,4022.35,2,Champions
69,2,1118.99,0,Potential Loyalists
65,8,1702.26,0,Potential Loyalists
28,2,325.96000000000004,0,Potential Loyalists
266,3,145.29000000000002,3,At Risk/Lost
21,1,871.54,0,Potential Loyalists
30,2,1050.89,0,Potential Loyalists
96,1,135.18,0,Potential Loyalists
294,1,311.55,3,At Risk/Lost
134,6,1957.1,0,Potential Loyalists
78,3,1324.5,0,Potential Loyalists
372,1,38.1,3,At Risk/Lost
7,6,2179.93,0,Potential Loyalists
210,2,1106.4,3,At Risk/Lost
51,1,521.2,0,Potential Loyalists
137,1,27.6,3,At Risk/Lost
25,2,1568.23,0,Potential Loyalists
282,1,559.12,3,At Risk/Lost
25,7,4036.82,0,Potential Loyalists
185,6,1607.0600000000002,0,Potential Loyalists
83,2,380.64,0,Potential Loyalists
326,2,599.97,3,At Risk/Lost
281,1,374.0,3,At Risk/Lost
57,2,2218.02,0,Potential Loyalists
3,12,1535.77,0,Potential Loyalists
235,2,854.99,3,At Risk/Lost
44,3,573.22,0,Potential Loyalists
275,1,298.0,3,At Risk/Lost
8,2,1463.04,0,Potential Loyalists
24,4,703.47,0,Potential Loyalists
87,1,309.05,0,Potential Loyalists
62,3,1175.22,0,Potential Loyalists
67,2,1378.4,0,Potential Loyalists
213,2,354.12,3,At Risk/Lost
23,1,380.47,0,Potential Loyalists
292,1,42.0,3,At Risk/Lost
30,1,188.14,0,Potential Loyalists
41,2,372.8,0,Potential Loyalists
204,2,216.5,3,At Risk/Lost
9,16,3064.92,2,Champions
264,1,138.68,3,At Risk/Lost
17,2,509.58,0,Potential Loyalists
11,5,2784.13,0,Potential Loyalists
39,5,2178.67,0,Potential Loyalists
22,8,3075.04,0,Potential Loyalists
2,5,1662.3,0,Potential Loyalists
4,5,2483.63,0,Potential Loyalists
148,2,363.65,3,At Risk/Lost
138,4,3006.15,0,Potential Loyalists
127,1,594.0,3,At Risk/Lost
7,6,1335.19,0,Potential Loyalists
16,1,164.23,0,Potential Loyalists
8,37,16587.09,2,Champions
160,1,405.38,3,At Risk/Lost
63,1,176.97,0,Potential Loyalists
87,4,781.0600000000001,0,Potential Loyalists
4,2,694.05,0,Potential Loyalists
34,5,2028.14,0,Potential Loyalists
311,1,117.85,3,At Risk/Lost
77,2,415.8,0,Potential Loyalists
29,8,2053.22,0,Potential Loyalists
23,3,607.53,0,Potential Loyalists
1,7,2160.7,0,Potential Loyalists
16,4,1063.9,0,Potential Loyalists
14,4,1504.27,0,Potential Loyalists
25,1,114.14,0,Potential Loyalists
63,8,5921.52,0,Potential Loyalists
54,2,913.54,0,Potential Loyalists
130,3,683.9,0,Potential Loyalists
35,2,604.51,0,Potential Loyalists
287,1,462.95,3,At Risk/Lost
143,6,1603.99,0,Potential Loyalists
15,7,2064.95,0,Potential Loyalists
30,8,4167.22,0,Potential Loyalists
1,3,1699.0,0,Potential Loyalists
8,6,1064.07,0,Potential Loyalists
5,4,1387.79,0,Potential Loyalists
9,1,329.85,0,Potential Loyalists
0,11,4757.16,2,Champions
305,1,108.07,3,At Risk/Lost
9,8,4017.54,0,Potential Loyalists
6,2,266.39,0,Potential Loyalists
7,8,1856.63,0,Potential Loyalists
88,1,771.91,0,Potential Loyalists
9,1,160.18,0,Potential Loyalists
357,2,1660.9,3,At Risk/Lost
111,1,135.95,3,At Risk/Lost
6,4,452.24,0,Potential Loyalists
3,86,10347.59,2,Champions
197,1,144.8,3,At Risk/Lost
211,1,738.6,3,At Risk/Lost
155,1,39.24,3,At Risk/Lost
157,9,6398.58,0,Potential Loyalists
29,2,372.22,0,Potential Loyalists
242,1,390.54,3,At Risk/Lost
18,1,97.5,0,Potential Loyalists
0,2,1182.38,0,Potential Loyalists
73,2,558.7,0,Potential Loyalists
291,1,535.32,3,At Risk/Lost
2,14,4731.71,2,Champions
30,3,409.5,0,Potential Loyalists
22,2,503.76,0,Potential Loyalists
22,4,414.76,0,Potential Loyalists
3,3,974.42,0,Potential Loyalists
84,1,211.32,0,Potential Loyalists
21,4,1226.89,0,Potential Loyalists
195,3,455.88,3,At Risk/Lost
106,3,534.85,0,Potential Loyalists
3,13,8726.7,2,Champions
317,1,120.95,3,At Risk/Lost
105,3,149.05,0,Potential Loyalists
11,18,5655.91,2,Champions
173,2,513.7,3,At Risk/Lost
55,1,81.57,0,Potential Loyalists
322,1,229.47,3,At Risk/Lost
371,1,50.55,3,At Risk/Lost
8,8,1661.84,0,Potential Loyalists
0,13,4810.9400000000005,2,Champions
10,10,3466.28,0,Potential Loyalists
52,5,3346.28,0,Potential Loyalists
72,3,789.89,0,Potential Loyalists
6,1,204.0,0,Potential Loyalists
15,28,7277.7,2,Champions
3,9,2616.38,0,Potential Loyalists
63,2,689.9,0,Potential Loyalists
0,4,674.28,0,Potential Loyalists
22,2,661.3199999999999,0,Potential Loyalists
30,3,1247.5,0,Potential Loyalists
10,2,799.48,0,Potential Loyalists
51,2,1010.18,0,Potential Loyalists
356,1,190.55,3,At Risk/Lost
54,2,642.77,0,Potential Loyalists
73,2,921.88,0,Potential Loyalists
137,3,881.07,0,Potential Loyalists
79,3,908.46,0,Potential Loyalists
8,2,676.99,0,Potential Loyalists
272,1,516.42,3,At Risk/Lost
290,1,560.47,3,At Risk/Lost
98,1,305.28000000000003,0,Potential Loyalists
30,2,629.31,0,Potential Loyalists
31,10,3237.54,0,Potential Loyalists
13,4,1835.91,0,Potential Loyalists
63,2,656.6800000000001,0,Potential Loyalists
14,17,5836.86,2,Champions
211,1,348.15000000000003,3,At Risk/Lost
77,3,1214.41,0,Potential Loyalists
24,3,271.40000000000003,0,Potential Loyalists
249,1,183.4,3,At Risk/Lost
253,1,307.53,3,At Risk/Lost
71,1,248.61,0,Potential Loyalists
190,1,286.5,3,At Risk/Lost
12,4,1119.49,0,Potential Loyalists
372,1,205.86,3,At Risk/Lost
23,2,470.8,0,Potential Loyalists
81,1,115.46,0,Potential Loyalists
9,2,344.0,0,Potential Loyalists
0,24,4011.32,2,Champions
191,1,228.8,3,At Risk/Lost
266,1,177.15,3,At Risk/Lost
129,1,919.61,3,At Risk/Lost
0,4,729.27,0,Potential Loyalists
2,26,11341.94,2,Champions
3,5,220.1,0,Potential Loyalists
178,1,58.08,3,At Risk/Lost
11,11,28246.66,2,Champions
125,9,1980.91,0,Potential Loyalists
3,2,303.75,0,Potential Loyalists
157,2,416.08,3,At Risk/Lost
2,96,55953.91,1,Champions
8,14,8910.82,2,Champions
27,1,345.82,0,Potential Loyalists
70,5,477.83,0,Potential Loyalists
275,8,7741.75,0,Potential Loyalists
20,12,1622.0400000000002,0,Potential Loyalists
70,1,74.39999999999999,0,Potential Loyalists
32,10,6010.42,2,Champions
0,28,26489.4,2,Champions
233,1,101.19,3,At Risk/Lost
0,24,6166.33,2,Champions
39,1,243.94,0,Potential Loyalists
2,6,1098.48,0,Potential Loyalists
132,1,76.5,3,At Risk/Lost
43,4,1531.62,0,Potential Loyalists
372,1,350.06,3,At Risk/Lost
59,2,786.54,0,Potential Loyalists
30,7,1488.67,0,Potential Loyalists
0,24,10545.96,2,Champions
11,4,2294.78,0,Potential Loyalists
137,1,501.14,3,At Risk/Lost
21,8,984.91,0,Potential Loyalists
19,5,1197.81,0,Potential Loyalists
238,1,30.6,3,At Risk/Lost
268,1,283.73,3,At Risk/Lost
93,2,922.39,0,Potential Loyalists
89,3,3866.33,0,Potential Loyalists
4,8,2099.64,0,Potential Loyalists
77,1,259.17,0,Potential Loyalists
93,1,64.0,0,Potential Loyalists
22,3,1073.3,0,Potential Loyalists
261,1,77.3,3,At Risk/Lost
273,2,109.8,3,At Risk/Lost
85,4,1793.58,0,Potential Loyalists
55,5,2607.61,0,Potential Loyalists
10,8,3650.41,0,Potential Loyalists
21,6,962.39,0,Potential Loyalists
15,7,5064.94,0,Potential Loyalists
107,3,423.72,0,Potential Loyalists
84,5,2388.75,0,Potential Loyalists
18,1,307.09,0,Potential Loyalists
332,1,110.95,3,At Risk/Lost
39,4,618.52,0,Potential Loyalists
25,1,228.91,0,Potential Loyalists
9,4,712.8000000000001,0,Potential Loyalists
28,12,3707.12,0,Potential Loyalists
13,4,1676.06,0,Potential Loyalists
295,1,1257.87,3,At Risk/Lost
5,1,486.22,0,Potential Loyalists
32,4,971.76,0,Potential Loyalists
48,4,1741.22,0,Potential Loyalists
94,4,1201.06,0,Potential Loyalists
8,4,1437.85,0,Potential Loyalists
21,1,91.8,0,Potential Loyalists
312,1,112.75,3,At Risk/Lost
121,4,1688.29,0,Potential Loyalists
45,2,1021.48,0,Potential Loyalists
282,1,417.2,3,At Risk/Lost
18,4,749.57,0,Potential Loyalists
35,4,1319.19,0,Potential Loyalists
63,2,712.88,0,Potential Loyalists
26,1,116.01,0,Potential Loyalists
21,3,468.41,0,Potential Loyalists
3,2,353.65,0,Potential Loyalists
15,3,2817.03,0,Potential Loyalists
45,1,492.84,0,Potential Loyalists
64,1,282.45,0,Potential Loyalists
25,11,5725.47,2,Champions
44,1,121.18,0,Potential Loyalists
7,9,3957.78,0,Potential Loyalists
14,10,1681.13,0,Potential Loyalists
267,1,71.4,3,At Risk/Lost
39,3,1575.89,0,Potential Loyalists
336,1,236.02,3,At Risk/Lost
10,1,114.6,0,Potential Loyalists
18,2,260.68,0,Potential Loyalists
94,2,911.94,0,Potential Loyalists
60,1,117.88,0,Potential Loyalists
135,1,60.7,3,At Risk/Lost
10,4,1797.78,0,Potential Loyalists
9,6,3401.24,0,Potential Loyalists
3,36,7372.24,2,Champions
18,4,870.09,0,Potential Loyalists
9,4,869.46,0,Potential Loyalists
14,2,250.26,0,Potential Loyalists
58,6,1223.9,0,Potential Loyalists
29,8,5891.61,0,Potential Loyalists
93,1,353.48,0,Potential Loyalists
9,3,1197.42,0,Potential Loyalists
19,3,788.08,0,Potential Loyalists
56,5,1520.58,0,Potential Loyalists
267,1,333.74,3,At Risk/Lost
121,3,533.98,0,Potential Loyalists
126,1,62.63999999999999,3,At Risk/Lost
77,4,819.2900000000001,0,Potential Loyalists
239,2,847.41,3,At Risk/Lost
199,2,163.20000000000002,3,At Risk/Lost
59,2,2100.27,0,Potential Loyalists
2,6,4066.32,0,Potential Loyalists
272,1,108.21,3,At Risk/Lost
201,1,257.7,3,At Risk/Lost
80,1,358.0,0,Potential Loyalists
225,1,160.95,3,At Risk/Lost
3,14,2763.41,0,Potential Loyalists
12,7,1357.6,0,Potential Loyalists
73,2,605.12,0,Potential Loyalists
211,1,1031.07,3,At Risk/Lost
24,2,744.85,0,Potential Loyalists
16,4,700.73,0,Potential Loyalists
261,1,329.56,3,At Risk/Lost
95,4,663.65,0,Potential Loyalists
111,3,270.40000000000003,0,Potential Loyalists
202,1,600.07,3,At Risk/Lost
92,1,121.74,0,Potential Loyalists
50,1,430.5,0,Potential Loyalists
17,6,1639.3,0,Potential Loyalists
17,4,501.12,0,Potential Loyalists
124,2,465.68,3,At Risk/Lost
91,3,406.13,0,Potential Loyalists
156,2,712.16,3,At Risk/Lost
8,2,399.51,0,Potential Loyalists
11,3,698.58,0,Potential Loyalists
61,1,292.32,0,Potential Loyalists
60,1,557.62,0,Potential Loyalists
268,2,944.1,3,At Risk/Lost
262,1,200.29,3,At Risk/Lost
0,35,7454.07,2,Champions
52,5,1875.66,0,Potential Loyalists
10,12,3544.1,0,Potential Loyalists
2,19,4521.49,2,Champions
17,11,3214.69,0,Potential Loyalists
0,15,5346.2300000000005,2,Champions
36,1,217.38,0,Potential Loyalists
30,2,276.56,0,Potential Loyalists
112,1,138.98,3,At Risk/Lost
63,2,590.9300000000001,0,Potential Loyalists
15,4,258.4,0,Potential Loyalists
40,1,542.73,0,Potential Loyalists
77,1,137.75,0,Potential Loyalists
121,3,814.86,0,Potential Loyalists
17,3,1132.14,0,Potential Loyalists
59,2,93.66,0,Potential Loyalists
330,1,201.19,3,At Risk/Lost
22,4,2709.12,0,Potential Loyalists
155,1,361.11,3,At Risk/Lost
38,2,578.9399999999999,0,Potential Loyalists
189,2,873.74,3,At Risk/Lost
359,1,201.2,3,At Risk/Lost
136,1,87.4,3,At Risk/Lost
7,4,2089.85,0,Potential Loyalists
0,1,360.0,0,Potential Loyalists
267,1,142.5,3,At Risk/Lost
168,1,371.89,3,At Risk/Lost
103,4,618.09,0,Potential Loyalists
154,1,63.75,3,At Risk/Lost
350,1,300.42,3,At Risk/Lost
3,10,2000.86,0,Potential Loyalists
119,1,15.0,3,At Risk/Lost
22,3,1325.03,0,Potential Loyalists
6,5,1456.79,0,Potential Loyalists
27,3,1132.03,0,Potential Loyalists
3,2,598.57,0,Potential Loyalists
21,5,1555.32,0,Potential Loyalists
1,3,775.94,0,Potential Loyalists
36,4,4275.41,0,Potential Loyalists
65,6,2273.68,0,Potential Loyalists
